model,category,build_pass_at_1_percent,revise_code_gurobi_pass_at_1_percent,explain_rubric_mean
gemini-3.1-pro,closed,72,87,73.00
gemini-3-flash,closed,68,82,69.39
claude-opus-4-6,closed,62,87,80.20
gpt-5.4,closed,59,85,86.52
claude-sonnet-4.5,closed,53,82,77.58
gpt-5.1,closed,53,81,76.16
gemini-2.5-flash,closed,53,71,23.47
gemini-2.5-pro,closed,47,81,77.02
gpt-4o,closed,25,36,59.36
deepseek-v4-pro,open,67,80,68.87
deepseek-r1-0528,open,55,65,58.82
deepseek-v4-flash,open,54,70,77.77
qwen3-max,open,49,68,74.66
qwen3-32b,open,32,32,61.32
qwen3-32b-thinking,open,28,32,61.28
qwen3.5-27b,open,38,48,77.88
qwen3-8b,open,22,12,55.19
qwen3-14b,open,20,19,61.03

