paper_model,published_revise_score,release_mode,protocol_class,pass_at_1_status,first_call_score,note
gemini-3.1-pro,87,first_run_and_conditional_repeat_conservative,repeatability_conservative,not_pass_at_1,92,Published score applies a conditional repeatability rule to the first run.
gemini-3-flash,82,canonical_plus_infrastructure_recovery,infrastructure_recovery,recovery_composite,45,Published archive combines canonical results with recovery of infrastructure-affected calls.
claude-opus-4-6,87,two_run_conservative,repeatability_conservative,not_pass_at_1,90,Published score conservatively combines two complete runs retained in the archive.
gpt-5.4,85,restored_historical_first_call,first_call,pass_at_1,85,Historical first-call result.
claude-sonnet-4.5,82,first_run_and_conditional_repeat_conservative,repeatability_conservative,not_pass_at_1,89,Published score applies a conditional repeatability rule to the first run.
gpt-5.1,81,restored_historical_first_call,first_call,pass_at_1,81,Historical first-call result.
gemini-2.5-flash,71,restored_historical_first_call,first_call,pass_at_1,71,Historical first-call result.
gemini-2.5-pro,81,restored_historical_first_call,first_call,pass_at_1,81,Historical first-call result.
gpt-4o,36,restored_historical_first_call,first_call,pass_at_1,36,Historical first-call result.
deepseek-v4-pro,80,restored_historical_first_call,first_call,pass_at_1,80,Historical first-call result.
deepseek-r1-0528,65,restored_historical_first_call,first_call,pass_at_1,65,Historical first-call result.
deepseek-v4-flash,70,restored_historical_first_call,first_call,pass_at_1,70,Historical first-call result.
qwen3-max,68,restored_historical_first_call,first_call,pass_at_1,68,Historical first-call result.
qwen3-32b,32,restored_historical_first_call,first_call,pass_at_1,32,Historical first-call result.
qwen3-32b-thinking,32,restored_historical_first_call,first_call,pass_at_1,32,Historical first-call result.
qwen3.5-27b,48,restored_historical_first_call,first_call,pass_at_1,48,Historical first-call result.
qwen3-8b,12,restored_historical_first_call,first_call,pass_at_1,12,Historical first-call result.
qwen3-14b,19,restored_historical_first_call,first_call,pass_at_1,19,Historical first-call result.
