paper_model,reported_passed,evidence_passed,evidence_class,protocol_status,public_artifacts,status,note
gemini-3.1-pro,87,87,legacy_canonical,posthoc_resample_rows,missing,blocked,"IDs 18;36;38;65;95 carry deflated/resample markers; restored first-call result is 92"
gemini-3-flash,82,82,merged_infrastructure_recovery,adapter_fixed_recovery,aggregate_only,provisional,"37 of 47 truncated/empty historical rows were rerun; merged aggregate reports 82"
claude-opus-4-6,87,90,historical_first_result,no_matching_87_cell,missing,blocked,"available Gurobi Revise-code cell reports 90; locate a valid 87 cell or correct the paper"
gpt-5.4,85,85,exact_predeflate_restoration,restored_first_call,aggregate_only,provisional,"three temperature-0.7 substitutions removed using exact pre-deflate rows"
claude-sonnet-4.5,82,82,legacy_canonical,posthoc_resample_and_infrastructure_rows,missing,blocked,"historical 82 cell is contaminated; restored first-call result is 89"
gpt-5.1,81,81,exact_predeflate_restoration,restored_first_call,aggregate_only,provisional,"ten temperature-0.7 substitutions removed using exact pre-deflate rows"
gemini-2.5-flash,71,71,historical_first_result,no_resample_marker,aggregate_only,provisional,"publish the complete 100-row result cell and run manifest"
gemini-2.5-pro,81,81,invariant_restoration,first_artifacts_preserved_telemetry_partial,aggregate_only,provisional,"twelve replaced passes recovered from preserved first artifacts; first-call telemetry is unavailable"
gpt-4o,36,36,historical_first_result,no_resample_marker,aggregate_only,provisional,"publish the complete 100-row result cell and run manifest"
deepseek-v4-pro,80,80,invariant_restoration,first_artifacts_preserved_telemetry_partial,aggregate_only,provisional,"nine replaced passes recovered from preserved first artifacts; first-call telemetry is unavailable"
deepseek-r1-0528,65,65,historical_first_result,no_resample_marker,aggregate_only,provisional,"publish the complete 100-row result cell and run manifest"
deepseek-v4-flash,70,70,exact_predeflate_restoration,restored_first_call,aggregate_only,provisional,"seven temperature-0.7 substitutions removed using exact pre-deflate rows"
qwen3-max,68,68,invariant_restoration,first_artifacts_preserved_telemetry_partial,aggregate_only,provisional,"eight replaced passes recovered from preserved first artifacts; first-call telemetry is unavailable"
qwen3-32b,32,32,exact_predeflate_restoration,restored_first_call,aggregate_only,provisional,"twelve temperature-0.7 substitutions removed using exact pre-deflate rows"
qwen3-32b-thinking,32,32,historical_first_result,no_resample_marker,aggregate_only,provisional,"publish the complete 100-row result cell and run manifest"
qwen3.5-27b,48,48,historical_partial_result,unresolved_infrastructure_rows,missing,blocked,"IDs 91-100 are zero-token interrupted requests; extractor failures also require review"
qwen3-8b,12,12,historical_first_result,no_resample_marker,aggregate_only,provisional,"publish the complete 100-row result cell and run manifest"
qwen3-14b,19,19,historical_first_result,no_resample_marker,aggregate_only,provisional,"publish the complete 100-row result cell and run manifest"
