paper_model,artifact_model,group,passed,total,pass_at_1_percent
gemini-3.1-pro,gemini-3.1-pro-preview,closed,87,100,87.0
gemini-3-flash,gemini-3-flash-preview,closed,82,100,82.0
claude-opus-4-6,claude-opus-4-6,closed,87,100,87.0
gpt-5.4,gpt-5.4,closed,85,100,85.0
claude-sonnet-4.5,claude-sonnet-4.5,closed,82,100,82.0
gpt-5.1,gpt-5.1,closed,81,100,81.0
gemini-2.5-flash,gemini-2.5-flash,closed,71,100,71.0
gemini-2.5-pro,gemini-2.5-pro,closed,81,100,81.0
gpt-4o,openai_gpt-4o,closed,36,100,36.0
deepseek-v4-pro,deepseek-v4-pro,open,80,100,80.0
deepseek-r1-0528,deepseek-ai_DeepSeek-R1-0528,open,65,100,65.0
deepseek-v4-flash,deepseek-v4-flash,open,70,100,70.0
qwen3-max,Qwen_Qwen3-Max,open,68,100,68.0
qwen3-32b,Qwen_Qwen3-32B,open,32,100,32.0
qwen3-32b-thinking,Qwen_Qwen3-32B-Thinking,open,32,100,32.0
qwen3.5-27b,qwen3.5-27b,open,48,100,48.0
qwen3-8b,qwen3-8b,open,12,100,12.0
qwen3-14b,qwen3-14b,open,19,100,19.0
