workspace_id,task_type,instance_number,instance_id,metadata_path,workspace_path,difficulty,original_instance_id,revise_type,revise_type_name,diff_summary,source_revise_instance,domain,difficulty_level,explain_dimension,question
or_space_001_build,build,1,IndustryOR_1,Workspace_OR/build_workspaces/instance_1/metadata.json,Workspace_OR/build_workspaces/instance_1/,Hard,,,,,,,,,
or_space_002_build,build,2,IndustryOR_2,Workspace_OR/build_workspaces/instance_2/metadata.json,Workspace_OR/build_workspaces/instance_2/,Hard,,,,,,,,,
or_space_003_build,build,3,IndustryOR_3,Workspace_OR/build_workspaces/instance_3/metadata.json,Workspace_OR/build_workspaces/instance_3/,Medium,,,,,,,,,
or_space_004_build,build,4,IndustryOR_4,Workspace_OR/build_workspaces/instance_4/metadata.json,Workspace_OR/build_workspaces/instance_4/,Easy,,,,,,,,,
or_space_005_build,build,5,IndustryOR_5,Workspace_OR/build_workspaces/instance_5/metadata.json,Workspace_OR/build_workspaces/instance_5/,Hard,,,,,,,,,
or_space_006_build,build,6,IndustryOR_6,Workspace_OR/build_workspaces/instance_6/metadata.json,Workspace_OR/build_workspaces/instance_6/,Medium,,,,,,,,,
or_space_007_build,build,7,IndustryOR_7,Workspace_OR/build_workspaces/instance_7/metadata.json,Workspace_OR/build_workspaces/instance_7/,Medium,,,,,,,,,
or_space_008_build,build,8,IndustryOR_8,Workspace_OR/build_workspaces/instance_8/metadata.json,Workspace_OR/build_workspaces/instance_8/,Easy,,,,,,,,,
or_space_009_build,build,9,IndustryOR_9,Workspace_OR/build_workspaces/instance_9/metadata.json,Workspace_OR/build_workspaces/instance_9/,Medium,,,,,,,,,
or_space_010_build,build,10,IndustryOR_10,Workspace_OR/build_workspaces/instance_10/metadata.json,Workspace_OR/build_workspaces/instance_10/,Hard,,,,,,,,,
or_space_011_build,build,11,IndustryOR_11,Workspace_OR/build_workspaces/instance_11/metadata.json,Workspace_OR/build_workspaces/instance_11/,Hard,,,,,,,,,
or_space_012_build,build,12,IndustryOR_12,Workspace_OR/build_workspaces/instance_12/metadata.json,Workspace_OR/build_workspaces/instance_12/,Medium,,,,,,,,,
or_space_013_build,build,13,IndustryOR_13,Workspace_OR/build_workspaces/instance_13/metadata.json,Workspace_OR/build_workspaces/instance_13/,Easy,,,,,,,,,
or_space_014_build,build,14,IndustryOR_14,Workspace_OR/build_workspaces/instance_14/metadata.json,Workspace_OR/build_workspaces/instance_14/,Hard,,,,,,,,,
or_space_015_build,build,15,IndustryOR_15,Workspace_OR/build_workspaces/instance_15/metadata.json,Workspace_OR/build_workspaces/instance_15/,Hard,,,,,,,,,
or_space_016_build,build,16,IndustryOR_16,Workspace_OR/build_workspaces/instance_16/metadata.json,Workspace_OR/build_workspaces/instance_16/,Hard,,,,,,,,,
or_space_017_build,build,17,IndustryOR_17,Workspace_OR/build_workspaces/instance_17/metadata.json,Workspace_OR/build_workspaces/instance_17/,Hard,,,,,,,,,
or_space_018_build,build,18,IndustryOR_18,Workspace_OR/build_workspaces/instance_18/metadata.json,Workspace_OR/build_workspaces/instance_18/,Hard,,,,,,,,,
or_space_019_build,build,19,IndustryOR_19,Workspace_OR/build_workspaces/instance_19/metadata.json,Workspace_OR/build_workspaces/instance_19/,Medium,,,,,,,,,
or_space_020_build,build,20,IndustryOR_20,Workspace_OR/build_workspaces/instance_20/metadata.json,Workspace_OR/build_workspaces/instance_20/,Medium,,,,,,,,,
or_space_021_build,build,21,IndustryOR_21,Workspace_OR/build_workspaces/instance_21/metadata.json,Workspace_OR/build_workspaces/instance_21/,Medium,,,,,,,,,
or_space_022_build,build,22,IndustryOR_22,Workspace_OR/build_workspaces/instance_22/metadata.json,Workspace_OR/build_workspaces/instance_22/,Hard,,,,,,,,,
or_space_023_build,build,23,IndustryOR_23,Workspace_OR/build_workspaces/instance_23/metadata.json,Workspace_OR/build_workspaces/instance_23/,Hard,,,,,,,,,
or_space_024_build,build,24,IndustryOR_24,Workspace_OR/build_workspaces/instance_24/metadata.json,Workspace_OR/build_workspaces/instance_24/,Easy,,,,,,,,,
or_space_025_build,build,25,IndustryOR_25,Workspace_OR/build_workspaces/instance_25/metadata.json,Workspace_OR/build_workspaces/instance_25/,Medium,,,,,,,,,
or_space_026_build,build,26,IndustryOR_26,Workspace_OR/build_workspaces/instance_26/metadata.json,Workspace_OR/build_workspaces/instance_26/,Easy,,,,,,,,,
or_space_027_build,build,27,IndustryOR_27,Workspace_OR/build_workspaces/instance_27/metadata.json,Workspace_OR/build_workspaces/instance_27/,Hard,,,,,,,,,
or_space_028_build,build,28,IndustryOR_28,Workspace_OR/build_workspaces/instance_28/metadata.json,Workspace_OR/build_workspaces/instance_28/,Medium,,,,,,,,,
or_space_029_build,build,29,IndustryOR_29,Workspace_OR/build_workspaces/instance_29/metadata.json,Workspace_OR/build_workspaces/instance_29/,Hard,,,,,,,,,
or_space_030_build,build,30,IndustryOR_30,Workspace_OR/build_workspaces/instance_30/metadata.json,Workspace_OR/build_workspaces/instance_30/,Easy,,,,,,,,,
or_space_031_build,build,31,IndustryOR_31,Workspace_OR/build_workspaces/instance_31/metadata.json,Workspace_OR/build_workspaces/instance_31/,Medium,,,,,,,,,
or_space_032_build,build,32,IndustryOR_32,Workspace_OR/build_workspaces/instance_32/metadata.json,Workspace_OR/build_workspaces/instance_32/,Easy,,,,,,,,,
or_space_033_build,build,33,IndustryOR_33,Workspace_OR/build_workspaces/instance_33/metadata.json,Workspace_OR/build_workspaces/instance_33/,Easy,,,,,,,,,
or_space_034_build,build,34,IndustryOR_34,Workspace_OR/build_workspaces/instance_34/metadata.json,Workspace_OR/build_workspaces/instance_34/,Easy,,,,,,,,,
or_space_035_build,build,35,IndustryOR_35,Workspace_OR/build_workspaces/instance_35/metadata.json,Workspace_OR/build_workspaces/instance_35/,Medium,,,,,,,,,
or_space_036_build,build,36,IndustryOR_36,Workspace_OR/build_workspaces/instance_36/metadata.json,Workspace_OR/build_workspaces/instance_36/,Hard,,,,,,,,,
or_space_037_build,build,37,IndustryOR_37,Workspace_OR/build_workspaces/instance_37/metadata.json,Workspace_OR/build_workspaces/instance_37/,Easy,,,,,,,,,
or_space_038_build,build,38,IndustryOR_38,Workspace_OR/build_workspaces/instance_38/metadata.json,Workspace_OR/build_workspaces/instance_38/,Medium,,,,,,,,,
or_space_039_build,build,39,IndustryOR_39,Workspace_OR/build_workspaces/instance_39/metadata.json,Workspace_OR/build_workspaces/instance_39/,Easy,,,,,,,,,
or_space_040_build,build,40,IndustryOR_40,Workspace_OR/build_workspaces/instance_40/metadata.json,Workspace_OR/build_workspaces/instance_40/,Hard,,,,,,,,,
or_space_041_build,build,41,IndustryOR_41,Workspace_OR/build_workspaces/instance_41/metadata.json,Workspace_OR/build_workspaces/instance_41/,Hard,,,,,,,,,
or_space_042_build,build,42,IndustryOR_42,Workspace_OR/build_workspaces/instance_42/metadata.json,Workspace_OR/build_workspaces/instance_42/,Easy,,,,,,,,,
or_space_043_build,build,43,IndustryOR_43,Workspace_OR/build_workspaces/instance_43/metadata.json,Workspace_OR/build_workspaces/instance_43/,Easy,,,,,,,,,
or_space_044_build,build,44,IndustryOR_44,Workspace_OR/build_workspaces/instance_44/metadata.json,Workspace_OR/build_workspaces/instance_44/,Medium,,,,,,,,,
or_space_045_build,build,45,IndustryOR_45,Workspace_OR/build_workspaces/instance_45/metadata.json,Workspace_OR/build_workspaces/instance_45/,Hard,,,,,,,,,
or_space_046_build,build,46,IndustryOR_46,Workspace_OR/build_workspaces/instance_46/metadata.json,Workspace_OR/build_workspaces/instance_46/,Medium,,,,,,,,,
or_space_047_build,build,47,IndustryOR_47,Workspace_OR/build_workspaces/instance_47/metadata.json,Workspace_OR/build_workspaces/instance_47/,Medium,,,,,,,,,
or_space_048_build,build,48,IndustryOR_48,Workspace_OR/build_workspaces/instance_48/metadata.json,Workspace_OR/build_workspaces/instance_48/,Easy,,,,,,,,,
or_space_049_build,build,49,IndustryOR_49,Workspace_OR/build_workspaces/instance_49/metadata.json,Workspace_OR/build_workspaces/instance_49/,Medium,,,,,,,,,
or_space_050_build,build,50,IndustryOR_50,Workspace_OR/build_workspaces/instance_50/metadata.json,Workspace_OR/build_workspaces/instance_50/,Hard,,,,,,,,,
or_space_051_build,build,51,IndustryOR_51,Workspace_OR/build_workspaces/instance_51/metadata.json,Workspace_OR/build_workspaces/instance_51/,Easy,,,,,,,,,
or_space_052_build,build,52,IndustryOR_52,Workspace_OR/build_workspaces/instance_52/metadata.json,Workspace_OR/build_workspaces/instance_52/,Easy,,,,,,,,,
or_space_053_build,build,53,IndustryOR_53,Workspace_OR/build_workspaces/instance_53/metadata.json,Workspace_OR/build_workspaces/instance_53/,Medium,,,,,,,,,
or_space_054_build,build,54,IndustryOR_54,Workspace_OR/build_workspaces/instance_54/metadata.json,Workspace_OR/build_workspaces/instance_54/,Easy,,,,,,,,,
or_space_055_build,build,55,IndustryOR_55,Workspace_OR/build_workspaces/instance_55/metadata.json,Workspace_OR/build_workspaces/instance_55/,Medium,,,,,,,,,
or_space_056_build,build,56,IndustryOR_56,Workspace_OR/build_workspaces/instance_56/metadata.json,Workspace_OR/build_workspaces/instance_56/,Medium,,,,,,,,,
or_space_057_build,build,57,IndustryOR_57,Workspace_OR/build_workspaces/instance_57/metadata.json,Workspace_OR/build_workspaces/instance_57/,Hard,,,,,,,,,
or_space_058_build,build,58,IndustryOR_58,Workspace_OR/build_workspaces/instance_58/metadata.json,Workspace_OR/build_workspaces/instance_58/,Easy,,,,,,,,,
or_space_059_build,build,59,IndustryOR_59,Workspace_OR/build_workspaces/instance_59/metadata.json,Workspace_OR/build_workspaces/instance_59/,Medium,,,,,,,,,
or_space_060_build,build,60,IndustryOR_60,Workspace_OR/build_workspaces/instance_60/metadata.json,Workspace_OR/build_workspaces/instance_60/,Hard,,,,,,,,,
or_space_061_build,build,61,IndustryOR_61,Workspace_OR/build_workspaces/instance_61/metadata.json,Workspace_OR/build_workspaces/instance_61/,Easy,,,,,,,,,
or_space_062_build,build,62,IndustryOR_62,Workspace_OR/build_workspaces/instance_62/metadata.json,Workspace_OR/build_workspaces/instance_62/,Medium,,,,,,,,,
or_space_063_build,build,63,IndustryOR_63,Workspace_OR/build_workspaces/instance_63/metadata.json,Workspace_OR/build_workspaces/instance_63/,Hard,,,,,,,,,
or_space_064_build,build,64,IndustryOR_64,Workspace_OR/build_workspaces/instance_64/metadata.json,Workspace_OR/build_workspaces/instance_64/,Easy,,,,,,,,,
or_space_065_build,build,65,IndustryOR_65,Workspace_OR/build_workspaces/instance_65/metadata.json,Workspace_OR/build_workspaces/instance_65/,Hard,,,,,,,,,
or_space_066_build,build,66,IndustryOR_66,Workspace_OR/build_workspaces/instance_66/metadata.json,Workspace_OR/build_workspaces/instance_66/,Easy,,,,,,,,,
or_space_067_build,build,67,IndustryOR_67,Workspace_OR/build_workspaces/instance_67/metadata.json,Workspace_OR/build_workspaces/instance_67/,Easy,,,,,,,,,
or_space_068_build,build,68,IndustryOR_68,Workspace_OR/build_workspaces/instance_68/metadata.json,Workspace_OR/build_workspaces/instance_68/,Easy,,,,,,,,,
or_space_069_build,build,69,IndustryOR_69,Workspace_OR/build_workspaces/instance_69/metadata.json,Workspace_OR/build_workspaces/instance_69/,Hard,,,,,,,,,
or_space_070_build,build,70,IndustryOR_70,Workspace_OR/build_workspaces/instance_70/metadata.json,Workspace_OR/build_workspaces/instance_70/,Medium,,,,,,,,,
or_space_071_build,build,71,IndustryOR_71,Workspace_OR/build_workspaces/instance_71/metadata.json,Workspace_OR/build_workspaces/instance_71/,Hard,,,,,,,,,
or_space_072_build,build,72,IndustryOR_72,Workspace_OR/build_workspaces/instance_72/metadata.json,Workspace_OR/build_workspaces/instance_72/,Medium,,,,,,,,,
or_space_073_build,build,73,IndustryOR_73,Workspace_OR/build_workspaces/instance_73/metadata.json,Workspace_OR/build_workspaces/instance_73/,Medium,,,,,,,,,
or_space_074_build,build,74,IndustryOR_74,Workspace_OR/build_workspaces/instance_74/metadata.json,Workspace_OR/build_workspaces/instance_74/,Hard,,,,,,,,,
or_space_075_build,build,75,IndustryOR_75,Workspace_OR/build_workspaces/instance_75/metadata.json,Workspace_OR/build_workspaces/instance_75/,Easy,,,,,,,,,
or_space_076_build,build,76,IndustryOR_76,Workspace_OR/build_workspaces/instance_76/metadata.json,Workspace_OR/build_workspaces/instance_76/,Hard,,,,,,,,,
or_space_077_build,build,77,IndustryOR_77,Workspace_OR/build_workspaces/instance_77/metadata.json,Workspace_OR/build_workspaces/instance_77/,Easy,,,,,,,,,
